Base address,Reg address,Reg name,Reg cat,Model Cat,Read,Write,Correct cat,Comments GT
0x40005400,0x40005400,27I2C Control register 1 (I2C_CR1) ,CR,CR,1,1,Yes,
0x40005400,0x40005404,26.6.1I2C Control register 2 (I2C_CR2) ,CR,CR,1,1,Yes,
0x40005400,0x40005408,26.6.2I2C Own address register 1 (I2C_OAR1) ,CR,CR,1,1,Yes,
0x40005400,0x40005414,26.6.5I2C Status register 1 (I2C_SR1)   ,SR,SR,1,0,Yes,
0x40005400,0x40005418,26.6.6I2C Status register 2 (I2C_SR2)   ,SR,DR,1,0,NO,
0x40005800,0x40005800,27I2C Control register 1 (I2C_CR1) ,CR,CR,1,1,Yes,
0x40005800,0x40005804,26.6.1I2C Control register 2 (I2C_CR2) ,CR,CR,1,1,Yes,
0x40005800,0x40005810,26.6.4I2C Data register (I2C_DR)  ,DR,DR,1,1,Yes,
0x40005800,0x40005814,26.6.5I2C Status register 1 (I2C_SR1)   ,SR,DR,1,0,NO,
0x40005800,0x40005818,26.6.6I2C Status register 2 (I2C_SR2)   ,SR,DR,1,0,NO,
0x40005800,0x4000581c,26.6.7I2C Clock control register (I2C_CCR)   ,CR,CR,1,1,Yes,
0x40005800,0x40005820,26.6.8I2C TRISE register (I2C_TRISE)  ,CR,CR,1,1,Yes,
0x40010000,0x40010014,9.4.5External interrupt configuration register 4 (AFIO_EXTICR4) ,CR,CR,1,1,Yes,
0x40010400,0x40010400,Interrupt mask register (EXTI_IMR) ,CR,CR,1,1,Yes,
0x40010400,0x4001040c,Falling trigger selection register (EXTI_FTSR)   ,CR,CR,1,1,Yes,
0x40010400,0x40010414,Pending register (EXTI_PR)   ,SR,SR,1,1,Yes,
0x40010800,0x40010800,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,CR,1,1,Yes,
0x40010800,0x4001080c,Port output data register (GPIOx_ODR) (x=A..G)  ,DR,CR,1,1,NO,
0x40010800,0x40010810,9.2.4Port bit set/reset register (GPIOx_BSRR) (x=A..G)  ,DR,DR,0,1,Yes,
0x40010800,0x40010814,9.2.6Port bit reset register (GPIOx_BRR) (x=A..G)  ,DR,DR,0,1,Yes,
0x40010c00,0x40010c00,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,CR,1,1,Yes,
0x40010c00,0x40010c04,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,CR,1,1,Yes,
0x40010c00,0x40010c0c,Port output data register (GPIOx_ODR) (x=A..G)  ,DR,CR,1,1,NO,
0x40011000,0x40011004,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,CR,1,1,Yes,
0x40020000,0x40020000,DMA interrupt status register (DMA_ISR)  ,SR,SR,1,0,Yes,
0x40020000,0x40020004,DMA interrupt flag clear register (DMA_IFCR)   ,CR,DR,0,1,NO,
0x40020000,0x40020044,,,CR,1,1,NO,
0x40020000,0x40020048,,,CR,1,1,NO,
0x40020000,0x4002004c,,,DR,0,1,NO,
0x40020000,0x40020050,,,DR,0,1,NO,
0x40020000,0x40020058,,,CR,1,1,NO,
0x40020000,0x4002005c,,,CR,1,1,NO,
0x40020000,0x40020060,,,DR,0,1,NO,
0x40020000,0x40020064,,,DR,0,1,NO,
0x40021000,0x40021000,Control register (RCC_CR)  ,C&SR,C&SR,1,1,Yes,
0x40021000,0x40021004,Clock configuration register (RCC_CFGR)   ,C&SR,C&SR,1,1,Yes,
0x40021000,0x40021008,7.3.2Clock interrupt register (RCC_CIR)  ,CR,DR,0,1,NO,
0x40021000,0x40021014,7.3.5AHB peripheral clock enable register (RCC_AHBENR)   ,CR,CR,1,1,Yes,
0x40021000,0x40021018,7.3.7APB2 peripheral clock enable register (RCC_APB2ENR) ,CR,CR,1,1,Yes,
0x40021000,0x4002101c,APB1 peripheral clock enable register (RCC_APB1ENR) ,CR,CR,1,1,Yes,
0x40022000,0x40022000,FLASH_ACR,CR,CR,1,1,Yes,hybrid enables prefetch and shows the status of prefetch mode (read only bit)
