Base address,Reg address,Reg name,Reg cat,Model Cat,Read,Write,Correct cat,Comments GT
0x40005400,0x40005400,27I2C Control register 1 (I2C_CR1) ,CR,CR,1,1,Yes,
0x40005400,0x40005404,26.6.1I2C Control register 2 (I2C_CR2) ,CR,CR,1,1,Yes,
0x40005400,0x40005408,26.6.2I2C Own address register 1 (I2C_OAR1) ,CR,DR,0,1,NO,
0x40005400,0x4000540c,26.6.3I2C Own address register 2 (I2C_OAR2) ,CR,DR,0,1,NO,
0x40005400,0x40005410,26.6.4I2C Data register (I2C_DR)  ,DR,DR,1,1,Yes,
0x40005400,0x40005414,26.6.5I2C Status register 1 (I2C_SR1)   ,SR,SR,1,1,Yes,
0x40005400,0x40005418,26.6.6I2C Status register 2 (I2C_SR2)   ,SR,SR,1,0,Yes,
0x40005400,0x4000541c,26.6.7I2C Clock control register (I2C_CCR)   ,CR,DR,0,1,NO,
0x40005400,0x40005420,26.6.8I2C TRISE register (I2C_TRISE)  ,CR,DR,0,1,NO,
0x40010800,0x40010800,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,CR,1,1,Yes,
0x40010800,0x40010810,9.2.4Port bit set/reset register (GPIOx_BSRR) (x=A..G)  ,DR,DR,0,1,Yes,
0x40010c00,0x40010c00,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,CR,1,1,Yes,
0x40020000,0x40020000,DMA interrupt status register (DMA_ISR)  ,SR,SR,1,0,Yes,
0x40020000,0x40020004,DMA interrupt flag clear register (DMA_IFCR)   ,CR,DR,0,1,NO,
0x40020000,0x4002006c,DMA channel x configuration register (DMA_CCRx),CR,CR,1,1,Yes,
0x40020000,0x40020080,DMA channel x configuration register (DMA_CCRx),CR,CR,1,1,Yes,
0x40020000,0x40020084,,,DR,0,1,NO,
0x40020000,0x40020088,,,DR,0,1,NO,
0x40020000,0x4002008c,,,DR,0,1,NO,
0x40021000,0x40021000,Control register (RCC_CR)  ,C&SR,C&SR,1,1,Yes,
0x40021000,0x40021004,Clock configuration register (RCC_CFGR)   ,C&SR,CR,1,1,NO,
0x40021000,0x40021008,7.3.2Clock interrupt register (RCC_CIR)  ,CR,DR,0,1,NO,
0x40021000,0x40021010,APB1 peripheral reset register (RCC_APB1RSTR)   ,CR,CR,1,1,Yes,
0x40021000,0x40021014,7.3.5AHB peripheral clock enable register (RCC_AHBENR)   ,CR,CR,1,1,Yes,
0x40021000,0x40021018,7.3.7APB2 peripheral clock enable register (RCC_APB2ENR) ,CR,CR,1,1,Yes,
0x40021000,0x4002101c,APB1 peripheral clock enable register (RCC_APB1ENR) ,CR,CR,1,1,Yes,
0x40022000,0x40022000,FLASH_ACR,CR,CR,1,1,Yes,hybrid enables prefetch and shows the status of prefetch mode (read only bit)
