Base address,Reg address,Reg name,Reg cat,Model Cat,Read,Write,Correct cat,Comments GT
0x400e0400,0x400e0620,PMC Clock Generator Main Oscillator Register,CR,CR,1,1,Yes,
0x400e0400,0x400e0628,PMC Clock Generator PLLA Register,CR,DR,1,1,NO,
0x400e0400,0x400e0630,PMC Master Clock Register,CR,CR,1,1,Yes,
0x400e0400,0x400e0668,PMC Status Register,SR,SR,1,0,Yes,
0x400e0800,0x400e0800,UART Control Register,CR,DR,0,1,NO,
0x400e0800,0x400e0804,UART Mode Register,CR,DR,0,1,NO,
0x400e0800,0x400e0814,UART Status Register,SR,SR,1,0,Yes,
0x400e0800,0x400e081c,UART Transmit Holding Register,DR,DR,0,1,Yes,
0x400e0800,0x400e0820,UART Baud Rate Generator Register,CR,DR,0,1,NO,
0x400e0800,0x400e0920,unknown,SR,DR,0,1,NO,
0x400e0800,0x400e0a00,EEFC Flash Mode Register,CR,DR,0,1,NO,
0x400e0c00,0x400e0c00,EEFC Flash Mode Register,CR,DR,0,1,NO,
0x400e0c00,0x400e0e00,PIO Controller PIO Enable Register,CR,DR,0,1,NO,
0x400e0c00,0x400e0e04,PIO Controller PIO Disable Register,CR,DR,0,1,NO,
0x400e0c00,0x400e0e10,PIO Controller Output Enable Register,CR,DR,0,1,NO,
0x400e0c00,0x400e0e30,PIO Controller Set Output Data Register,DR,DR,0,1,Yes,
0x400e0c00,0x400e0e34,PIO Controller Clear Output Data Register,DR,DR,0,1,Yes,
0x400e0c00,0x400e0e44,PIO Controller Interrupt Disable Register,CR,DR,0,1,NO,
0x400e0c00,0x400e0e54,PIO Multi-driver Disable Register,CR,DR,0,1,NO,
0x400e0c00,0x400e0e60,PIO Pull Up Disable Register,CR,DR,0,1,NO,
0x400e0c00,0x400e0e70,PIO Peripheral AB Select Register,CR,CR,1,1,Yes,
0x400e1000,0x400e1000,PIO Controller PIO Enable Register,CR,DR,0,1,NO,
0x400e1000,0x400e1010,PIO Controller Output Enable Register,CR,DR,0,1,NO,
0x400e1000,0x400e1014,PIO Controller Output Disable Register,CR,DR,0,1,NO,
0x400e1000,0x400e1044,PIO Controller Interrupt Disable Register,CR,DR,0,1,NO,
0x400e1000,0x400e1054,PIO Multi-driver Disable Register,CR,DR,0,1,NO,
0x400e1000,0x400e1060,PIO Pull Up Disable Register,CR,DR,0,1,NO,
0x400e1000,0x400e1064,PIO Pull Up Enable Register,CR,DR,0,1,NO,
0x400e1800,0x400e1a54,Watchdog Timer Mode Register,CR,DR,0,1,NO,
